form_number,revision,title,statute,published,filename,size_bytes,status,pdf_url,detail_url
AOC-CR-314,,Criminal Record Search,"7A-109,7A-308(a)(17),7A-343(3)","March 1, 2007",AOC-CR-314 - Criminal Record Search.pdf,193961,downloaded,https://www.nccourts.gov/assets/documents/forms/cr314_0.pdf?VersionId=GAAJOpaZqfXKQQMpPhdGjbzRms0eImD1,https://www.nccourts.gov/documents/forms/criminal-record-search
AOC-CR-664,,Conditions Of Release For Person Charged With Assault Or Threat Against Officer,G.S. 15A-534.9,"November 30, 2025",AOC-CR-664 - Conditions Of Release For Person Charged With Assault Or Threat Against Officer.pdf,176193,downloaded,https://www.nccourts.gov/assets/documents/forms/cr664.pdf?VersionId=ulbK7eDvjeM..pfE5IloGfjX3PAFfpCt,https://www.nccourts.gov/documents/forms/conditions-of-release-for-person-charged-with-assault-or-threat-against-officer
AOC-CR-636F,,"Conditional Discharge Under G.S. 14-277.8 (False Report/Threat Of Mass Violence) (For Offenses Committed On Or After Dec. 1, 202",G.S. 14-277.8,"November 30, 2025",AOC-CR-636F - Conditional Discharge Under G.S. 14-277.8 (False ReportThreat Of Mass Violence) (For Offenses Committed On Or After Dec.pdf,569600,downloaded,https://www.nccourts.gov/assets/documents/forms/cr636f.pdf?VersionId=btQVLAeFmUX.94UXvgx0APkLTWgWnlaY,https://www.nccourts.gov/documents/forms/conditional-discharge-under-gs-14-2778-false-reportthreat-of-mass-violence-for-offenses-committed-on-or-after-dec-1-2025
AOC-CR-633F,,"Conditional Discharge Under G.S. 15A-1341(a5) (For Offenses Committed On Or After Dec. 1, 2025)",G.S. 15A-1341(a5),"November 30, 2025","AOC-CR-633F - Conditional Discharge Under G.S. 15A-1341(a5) (For Offenses Committed On Or After Dec. 1, 2025).pdf",565388,downloaded,https://www.nccourts.gov/assets/documents/forms/cr633f.pdf?VersionId=ZCxA4uhYM9OXikw5IJevQL2PKtuo7IqX,https://www.nccourts.gov/documents/forms/conditional-discharge-under-gs-15a-1341a5-for-offenses-committed-on-or-after-dec-1-2025
AOC-CR-632F,,"Conditional Discharge Under G.S. 15A-1341(a4) (For Offenses Committed On Or After Dec. 1, 2025)",G.S. 15A-1341(a4),"November 30, 2025","AOC-CR-632F - Conditional Discharge Under G.S. 15A-1341(a4) (For Offenses Committed On Or After Dec. 1, 2025).pdf",583342,downloaded,https://www.nccourts.gov/assets/documents/forms/cr632f.pdf?VersionId=yzLpXM33lpBHGvE6iJJnOmKfIGS.NCf.,https://www.nccourts.gov/documents/forms/conditional-discharge-under-gs-15a-1341a4-for-offenses-committed-on-or-after-dec-1-2025
AOC-CR-628F,,"Conditional Discharge Under G.S. 14-204(b) (For Offenses Committed On Or After Dec. 1, 2025)",G.S. 14-204(b),"November 30, 2025","AOC-CR-628F - Conditional Discharge Under G.S. 14-204(b) (For Offenses Committed On Or After Dec. 1, 2025).pdf",554480,downloaded,https://www.nccourts.gov/assets/documents/forms/cr628f.pdf?VersionId=nB6apx5sz5RHNTfYwt9BWWBseqzzujHU,https://www.nccourts.gov/documents/forms/conditional-discharge-under-gs-14-204b-for-offenses-committed-on-or-after-dec-1-2025
AOC-CR-627F,,"Conditional Discharge Under G.S. 90-96(a1) (For Offenses Committed On Or After Dec. 1, 2025)",G.S. 90-96(a1),"November 30, 2025","AOC-CR-627F - Conditional Discharge Under G.S. 90-96(a1) (For Offenses Committed On Or After Dec. 1, 2025).pdf",606917,downloaded,https://www.nccourts.gov/assets/documents/forms/cr627f.pdf?VersionId=dYlhmS_eVN5yrqhfZErKDbqixh6JG3pt,https://www.nccourts.gov/documents/forms/conditional-discharge-under-gs-90-96a1-for-offenses-committed-on-or-after-dec-1-2025
AOC-CR-621F,,"Conditional Discharge Under G.S. 14-50.29 (Gang Offenses) (For Offenses Committed On Or After Dec. 1, 2025)",G.S. 14-50.29,"November 30, 2025","AOC-CR-621F - Conditional Discharge Under G.S. 14-50.29 (Gang Offenses) (For Offenses Committed On Or After Dec. 1, 2025).pdf",577733,downloaded,https://www.nccourts.gov/assets/documents/forms/cr621f.pdf?VersionId=YfUzJmS5XVG7d.GVUgC7mTvF7AISI.xa,https://www.nccourts.gov/documents/forms/conditional-discharge-under-gs-14-5029-gang-offenses-for-offenses-committed-on-or-after-dec-1-2025
AOC-CR-620,12/25,"Convicted Violent Offender Permanent No Contact Order (For Offenses Committed On Or After Dec. 1, 2025)",G.S. 15A-1340.50,"November 30, 2025","AOC-CR-620 - Convicted Violent Offender Permanent No Contact Order (For Offenses Committed On Or After Dec. 1, 2025).pdf",217866,downloaded,https://www.nccourts.gov/assets/documents/forms/cr620_0.pdf?VersionId=rOWVEmsjj.ciWWU6k5IVwaxSnxqCAoqD,https://www.nccourts.gov/documents/forms/convicted-violent-offender-permanent-no-contact-order-for-offenses-committed-on-or-after-dec-1-2025
AOC-CR-619F,,"Conditional Discharge Under G.S. 90-96(a) (For Offenses Committed On Or After Dec. 1, 2025)",G.S. 90-96(a),"November 30, 2025","AOC-CR-619F - Conditional Discharge Under G.S. 90-96(a) (For Offenses Committed On Or After Dec. 1, 2025).pdf",593781,downloaded,https://www.nccourts.gov/assets/documents/forms/cr619f.pdf?VersionId=vDuj.B0x.fv00vZeRP4Dn.AoJwx_zSpw,https://www.nccourts.gov/documents/forms/conditional-discharge-under-gs-90-96a-for-offenses-committed-on-or-after-dec-1-2025
AOC-CR-608,12/25,Judgment And Commitment Upon Revocation Of Probation - Misdemeanor (Structured Sentencing) (For Offenses Committed On Or After D,"G.S. 15A-1344, -1345","November 30, 2025",AOC-CR-608 - Judgment And Commitment Upon Revocation Of Probation - Misdemeanor (Structured Sentencing) (For Offenses Committed On Or.pdf,339716,downloaded,https://www.nccourts.gov/assets/documents/forms/cr608_2.pdf?VersionId=ltRHJaZttmRm.wAW6N4ghVo2MemGSXyy,https://www.nccourts.gov/documents/forms/judgment-and-commitment-upon-revocation-of-probation-misdemeanor-structured-sentencing-for-offenses-committed-on-or-after-dec-1-2025
AOC-CR-607,12/25,Judgment And Commitment Upon Revocation Of Probation - Felony (Structured Sentencing) (For Offenses Committed On Or After Dec. 1,"G.S. 15A-1344, 15A-1345","November 30, 2025",AOC-CR-607 - Judgment And Commitment Upon Revocation Of Probation - Felony (Structured Sentencing) (For Offenses Committed On Or Afte.pdf,339786,downloaded,https://www.nccourts.gov/assets/documents/forms/cr607_1.pdf?VersionId=zfontb5LwWvvvIPlct87XpJZkW.ZWRa6,https://www.nccourts.gov/documents/forms/judgment-and-commitment-upon-revocation-of-probation-felony-structured-sentencing-for-offenses-committed-on-or-after-dec-1-2025
AOC-CR-604F,,Judgment Suspending Sentence - Misdemeanor Punishment: Community/Intermediate (Structured Sentencing) (For Offenses Committed On,"G.S. 15A-1341, -1342, - 1343, -1343.2, -1346","November 30, 2025",AOC-CR-604F - Judgment Suspending Sentence - Misdemeanor Punishment CommunityIntermediate (Structured Sentencing) (For Offenses Commit.pdf,624856,downloaded,https://www.nccourts.gov/assets/documents/forms/cr604f.pdf?VersionId=zvL_r_3UkuuPCCPXt8lSd85hkj0TRZF9,https://www.nccourts.gov/documents/forms/judgment-suspending-sentence-misdemeanor-punishment-communityintermediate-structured-sentencing-for-offenses-committed-on-or-after-dec-1-2025
AOC-CR-603F,,Judgment Suspending Sentence - Felony Punishment: Community/Intermediate (Structured Sentencing) (For Offenses Committed On Or A,"G.S. 15A-1341, -1342, - 1343, -1343.2, -1346","November 30, 2025",AOC-CR-603F - Judgment Suspending Sentence - Felony Punishment CommunityIntermediate (Structured Sentencing) (For Offenses Committed O.pdf,659367,downloaded,https://www.nccourts.gov/assets/documents/forms/cr603f.pdf?VersionId=_.qjGIpYRXQ59MuxLIJT4Z8XM_Iagjkh,https://www.nccourts.gov/documents/forms/judgment-suspending-sentence-felony-punishment-communityintermediate-structured-sentencing-for-offenses-committed-on-or-after-dec-1-2025
AOC-CR-602,12/25,"Judgment And Commitment - Misdemeanor Active Punishment (Structured Sentencing) (For Offenses Committed On Or After Dec. 1, 2025","G.S. 15A-1301, -1340.20","November 30, 2025",AOC-CR-602 - Judgment And Commitment - Misdemeanor Active Punishment (Structured Sentencing) (For Offenses Committed On Or After Dec.pdf,389188,downloaded,https://www.nccourts.gov/assets/documents/forms/cr602_1.pdf?VersionId=vsGku0RQYepopj6NCs_DRsfACnFaKUMM,https://www.nccourts.gov/documents/forms/judgment-and-commitment-misdemeanor-active-punishment-structured-sentencing-for-offenses-committed-on-or-after-dec-1-2025
AOC-CR-601,12/25,"Judgment And Commitment Active Punishment - Felony (Structured Sentencing) (For Offenses Committed On Or After Dec. 1, 2025)","G.S. 15A-1301, -1340.13","November 30, 2025","AOC-CR-601 - Judgment And Commitment Active Punishment - Felony (Structured Sentencing) (For Offenses Committed On Or After Dec. 1, 2.pdf",428925,downloaded,https://www.nccourts.gov/assets/documents/forms/cr601_3.pdf?VersionId=wv6A9xJeMUAHyNgw_gCd7EOS2ibGFvzo,https://www.nccourts.gov/documents/forms/judgment-and-commitment-active-punishment-felony-structured-sentencing-for-offenses-committed-on-or-after-dec-1-2025
AOC-CR-343,12/25,"Impaired Driving Judgment And Commitment Upon Revocation Of Probation (For Offenses Committed On Or After Dec. 1, 2025)","G.S. 15A-1344, -1345","November 30, 2025","AOC-CR-343 - Impaired Driving Judgment And Commitment Upon Revocation Of Probation (For Offenses Committed On Or After Dec. 1, 2025).pdf",289137,downloaded,https://www.nccourts.gov/assets/documents/forms/cr343_2.pdf?VersionId=PQU5Mpa5wlQRn6qSbexb0Ge9ivm4oj54,https://www.nccourts.gov/documents/forms/impaired-driving-judgment-and-commitment-upon-revocation-of-probation-for-offenses-committed-on-or-after-dec-1-2025
AOC-CR-342C,,"Impaired Driving - Judgment And Commitment (For Offenses Committed On Or After Dec. 1, 2025)",G.S. 20-179,"November 30, 2025","AOC-CR-342C - Impaired Driving - Judgment And Commitment (For Offenses Committed On Or After Dec. 1, 2025).pdf",326667,downloaded,https://www.nccourts.gov/assets/documents/forms/cr342c.pdf?VersionId=uH8vm9nwPOYlmr5GEoUc8PPwnBDd0.qe,https://www.nccourts.gov/documents/forms/impaired-driving-judgment-and-commitment-for-offenses-committed-on-or-after-dec-1-2025
AOC-CR-325,,Limited Driving Privilege Conviction Of Hit And Run With Failure To Stop Or Hit And Run With Failure To Provide Information Or R,"G.S. 20-166, 20-179.3","November 30, 2025",AOC-CR-325 - Limited Driving Privilege Conviction Of Hit And Run With Failure To Stop Or Hit And Run With Failure To Provide Informat.pdf,185671,downloaded,https://www.nccourts.gov/assets/documents/forms/cr325.pdf?VersionId=Bm8VOBPG9oS7R12m3a2oMiOTHztcRoEu,https://www.nccourts.gov/documents/forms/limited-driving-privilege-conviction-of-hit-and-run-with-failure-to-stop-or-hit-and-run-with-failure-to-provide-information-or-render-assistance-nc-convictions-only
AOC-CR-310F,,"Impaired Driving - Judgment Suspending Sentence (For Offenses Committed On Or After Dec. 1, 2025)",G.S. 20-179,"November 30, 2025","AOC-CR-310F - Impaired Driving - Judgment Suspending Sentence (For Offenses Committed On Or After Dec. 1, 2025).pdf",325973,downloaded,https://www.nccourts.gov/assets/documents/forms/cr310f.pdf?VersionId=Ws8Pes5aVn0VLdgi50SUFq0hr6ImwR69,https://www.nccourts.gov/documents/forms/impaired-driving-judgment-suspending-sentence-for-offenses-committed-on-or-after-dec-1-2025
AOC-CR-927,,Notice To Medical Examiner (Pursuant To G.S. 130A-385(d2)),G.S. 130A-385,"September 30, 2025",AOC-CR-927 - Notice To Medical Examiner (Pursuant To G.S. 130A-385(d2)).pdf,196235,downloaded,https://www.nccourts.gov/assets/documents/forms/cr927.pdf?VersionId=i.kM_JZkjMmGTbUM03wcPZiV55NzAR5F,https://www.nccourts.gov/documents/forms/notice-to-medical-examiner-pursuant-to-gs-130a-385d2
AOC-CR-663,,Conditions Of Release For Person Whom Judicial Official Is Unable To Determine To Be Legal Resident Or Citizen Of The United Sta,G.S. 15A-534(d4),"September 30, 2025",AOC-CR-663 - Conditions Of Release For Person Whom Judicial Official Is Unable To Determine To Be Legal Resident Or Citizen Of The Un.pdf,171143,downloaded,https://www.nccourts.gov/assets/documents/forms/cr663.pdf?VersionId=zhBTepqRsPrZJqF1TS_g7UQRcTRK87sJ,https://www.nccourts.gov/documents/forms/conditions-of-release-for-person-whom-judicial-official-is-unable-to-determine-to-be-legal-resident-or-citizen-of-the-united-states
AOC-CR-550,,Law Enforcement Incident Data Sheet,,"August 22, 2025",AOC-CR-550 - Law Enforcement Incident Data Sheet.pdf,180443,downloaded,https://www.nccourts.gov/assets/documents/forms/cr550.pdf?VersionId=x9FUkv3rW0HdJdpB3rC3eLT7XjGSFPvs,https://www.nccourts.gov/documents/forms/law-enforcement-incident-data-sheet
AOC-CR-662,,Order After Receipt Of ICE Detainer And Administrative Warrant,G.S. 162-62(b1),"November 30, 2024",AOC-CR-662 - Order After Receipt Of ICE Detainer And Administrative Warrant.pdf,252503,downloaded,https://www.nccourts.gov/assets/documents/forms/cr662_0.pdf?VersionId=hdzxDxtd2I8V7N_bRTX_os_aJ_kR2sMj,https://www.nccourts.gov/documents/forms/order-after-receipt-of-ice-detainer-and-administrative-warrant
AOC-CR-347,,Interlock Limited Driving Privilege Impaired Driving With Impaired Driving Conviction In Preceding Seven Years (N.C. Convictions,G.S. 20-179.3,"November 30, 2024",AOC-CR-347 - Interlock Limited Driving Privilege Impaired Driving With Impaired Driving Conviction In Preceding Seven Years (N.C. Con.pdf,250013,downloaded,https://www.nccourts.gov/assets/documents/forms/cr347ff%2010-29-2024.pdf?VersionId=NyQPzU_N8orBfOVR99Eh90j8_RZ0ow_6,https://www.nccourts.gov/documents/forms/interlock-limited-driving-privilege-impaired-driving-with-impaired-driving-conviction-in-preceding-seven-years-nc-convictions-only
AOC-CR-299,,Motion And Order To Remove Case From Superior Court To District Court And Order Of Expunction Under G.S. 15A-145.8(a) (Charges R,"G.S. 15A-145.8, -960(a)","November 30, 2024",AOC-CR-299 - Motion And Order To Remove Case From Superior Court To District Court And Order Of Expunction Under G.S. 15A-145.8(a) (C.pdf,234229,downloaded,https://www.nccourts.gov/assets/documents/forms/cr299.pdf?VersionId=Zs1KGJZOSG0CP.X3J8lCrGDBTQW0HjjP,https://www.nccourts.gov/documents/forms/motion-and-order-to-remove-case-from-superior-court-to-district-court-and-order-of-expunction-under-gs-15a-1458a-charges-removed-to-district-court-for-juvenile-adjudication
AOC-CR-409,,Order On Motion To Continue,G.S. 15A-952,"October 3, 2024",AOC-CR-409 - Order On Motion To Continue.pdf,196002,downloaded,https://www.nccourts.gov/assets/documents/forms/cr409.pdf?VersionId=TbzEAQ0SVWQ0fg11oA2Jx5.9ByC7UDVi,https://www.nccourts.gov/documents/forms/order-on-motion-to-continue
AOC-CR-408,,Order Striking Failure To Appear,"G.S. 7A-304(a)(6), 15A-301(g), 15A-544.5, 20-24.2","October 3, 2024",AOC-CR-408 - Order Striking Failure To Appear.pdf,228424,downloaded,https://www.nccourts.gov/assets/documents/forms/cr408ff%2010-18-2024.pdf?VersionId=fvuRzNFngzetEwk46ZDdOl05D5_lAm9X,https://www.nccourts.gov/documents/forms/order-striking-failure-to-appear
AOC-CR-183,,"Motion For Human Trafficking, Involuntary Servitude, Or Sexual Servitude Victim Confidentiality And Order On Motion",G.S. 14-43.17(e),"September 30, 2024","AOC-CR-183 - Motion For Human Trafficking, Involuntary Servitude, Or Sexual Servitude Victim Confidentiality And Order On Motion.pdf",593874,downloaded,https://www.nccourts.gov/assets/documents/forms/cr183.pdf?VersionId=qo8NfodEPPHhiLbVfIzs8iA2BW0z9ehS,https://www.nccourts.gov/documents/forms/motion-for-human-trafficking-involuntary-servitude-or-sexual-servitude-victim-confidentiality-and-order-on-motion
AOC-CR-604E,,Judgment Suspending Sentence - Misdemeanor Punishment: Community/Intermediate (Structured Sentencing) (For Offenses Committed De,"G.S. 15A-1341, -1342, - 1343, -1343.2, -1346","November 30, 2023",AOC-CR-604E - Judgment Suspending Sentence - Misdemeanor Punishment CommunityIntermediate (Structured Sentencing) (For Offenses Commit.pdf,608592,downloaded,https://www.nccourts.gov/assets/documents/forms/cr604e_1.pdf?VersionId=.KEbd_S9blDobcpOA5vcOqJxfAoVx3jP,https://www.nccourts.gov/documents/forms/judgment-suspending-sentence-misdemeanor-punishment-communityintermediate-structured-sentencing-for-offenses-committed-dec-1-2023-nov-30-2025
AOC-CR-661,,Conditions Of Release For Person Charged Under G.S. 14-288.2 Or 14-288.6,G.S. 15A-534.8,"November 30, 2023",AOC-CR-661 - Conditions Of Release For Person Charged Under G.S. 14-288.2 Or 14-288.6.pdf,178778,downloaded,https://www.nccourts.gov/assets/documents/forms/cr661.pdf?VersionId=Pp1.RkjtbkXWKHWC4HOVkypsapEsQyjd,https://www.nccourts.gov/documents/forms/conditions-of-release-for-person-charged-under-gs-14-2882-or-14-2886
AOC-CR-636E,,"Conditional Discharge Under G.S. 14-277.8 (False Report/Threat Of Mass Violence) (For Offenses Committed Dec. 1, 2023 - Nov. 30,",G.S. 14-277.8,"November 30, 2023","AOC-CR-636E - Conditional Discharge Under G.S. 14-277.8 (False ReportThreat Of Mass Violence) (For Offenses Committed Dec. 1, 2023 - N.pdf",551460,downloaded,https://www.nccourts.gov/assets/documents/forms/cr636e_0.pdf?VersionId=Q4TfPd9jFUPZpWrcbGg9mLWerLb6ga6b,https://www.nccourts.gov/documents/forms/conditional-discharge-under-gs-14-2778-false-reportthreat-of-mass-violence-for-offenses-committed-dec-1-2023-nov-30-2025
AOC-CR-633E,,"Conditional Discharge Under G.S. 15A-1341(a5) (For Offenses Committed Dec. 1, 2023 - Nov. 30, 2025)",G.S. 15A-1341(a5),"November 30, 2023","AOC-CR-633E - Conditional Discharge Under G.S. 15A-1341(a5) (For Offenses Committed Dec. 1, 2023 - Nov. 30, 2025).pdf",545351,downloaded,https://www.nccourts.gov/assets/documents/forms/cr633e_0.pdf?VersionId=cFULUwiU2vy08kZpdzaJRBgChsGkiFQ_,https://www.nccourts.gov/documents/forms/conditional-discharge-under-gs-15a-1341a5-for-offenses-committed-dec-1-2023-nov-30-2025
AOC-CR-632E,,"Conditional Discharge Under G.S. 15A-1341(a4) (For Offenses Committed Dec. 1, 2023 - Nov. 30, 2025)",G.S. 15A-1341(a4),"November 30, 2023","AOC-CR-632E - Conditional Discharge Under G.S. 15A-1341(a4) (For Offenses Committed Dec. 1, 2023 - Nov. 30, 2025).pdf",565340,downloaded,https://www.nccourts.gov/assets/documents/forms/cr632e_0.pdf?VersionId=Hy0pF7JCXFuLFUJkxbemCG4OIQvblYw_,https://www.nccourts.gov/documents/forms/conditional-discharge-under-gs-15a-1341a4-for-offenses-committed-dec-1-2023-nov-30-2025
AOC-CR-628E,,"Conditional Discharge Under G.S. 14-204(b) (For Offenses Committed Dec. 1, 2023 - Nov. 30, 2025)",G.S. 14-204(b),"November 30, 2023","AOC-CR-628E - Conditional Discharge Under G.S. 14-204(b) (For Offenses Committed Dec. 1, 2023 - Nov. 30, 2025).pdf",536441,downloaded,https://www.nccourts.gov/assets/documents/forms/cr628e_0.pdf?VersionId=sQn.VHUqA0RD.ApXZesm05WwxCYhhTLF,https://www.nccourts.gov/documents/forms/conditional-discharge-under-gs-14-204b-for-offenses-committed-dec-1-2023-nov-30-2025
AOC-CR-627E,,"Conditional Discharge Under G.S. 90-96(a1) (For Offenses Committed Dec. 1, 2023 - Nov. 30, 2025)",G.S. 90-96(a1),"November 30, 2023","AOC-CR-627E - Conditional Discharge Under G.S. 90-96(a1) (For Offenses Committed Dec. 1, 2023 - Nov. 30, 2025).pdf",588796,downloaded,https://www.nccourts.gov/assets/documents/forms/cr627e_0.pdf?VersionId=vpjLBQwHPS_Ay1m5B6xLDobSVNp2iYI0,https://www.nccourts.gov/documents/forms/conditional-discharge-under-gs-90-96a1-for-offenses-committed-dec-1-2023-nov-30-2025
AOC-CR-621E,,"Conditional Discharge Under G.S. 14-50.29 (Gang Offenses) (For Offenses Committed Dec. 1, 2023 - Nov. 30, 2025)",G.S. 14-50.29,"November 30, 2023","AOC-CR-621E - Conditional Discharge Under G.S. 14-50.29 (Gang Offenses) (For Offenses Committed Dec. 1, 2023 - Nov. 30, 2025).pdf",559169,downloaded,https://www.nccourts.gov/assets/documents/forms/cr621e_0.pdf?VersionId=t2MlxzE1QuKCy2QVtppBIJkcINjhV26x,https://www.nccourts.gov/documents/forms/conditional-discharge-under-gs-14-5029-gang-offenses-for-offenses-committed-dec-1-2023-nov-30-2025
AOC-CR-619E,,"Conditional Discharge Under G.S. 90-96(a) (For Offenses Committed Dec. 1, 2023 - Nov. 30, 2025)",G.S. 90-96(a),"November 30, 2023","AOC-CR-619E - Conditional Discharge Under G.S. 90-96(a) (For Offenses Committed Dec. 1, 2023 - Nov. 30, 2025).pdf",575356,downloaded,https://www.nccourts.gov/assets/documents/forms/cr619e_0.pdf?VersionId=VXgbp1WJzx0IpLk2ktbWoqr1QBRLps3a,https://www.nccourts.gov/documents/forms/conditional-discharge-under-gs-90-96a-for-offenses-committed-dec-1-2023-nov-30-2025
AOC-CR-603E,,"Judgment Suspending Sentence - Felony Punishment: Community/Intermediate (Structured Sentencing) (For Offenses Committed Dec. 1,","G.S. 15A-1341, -1342, - 1343, -1343.2, -1346","November 30, 2023",AOC-CR-603E - Judgment Suspending Sentence - Felony Punishment CommunityIntermediate (Structured Sentencing) (For Offenses Committed D.pdf,625333,downloaded,https://www.nccourts.gov/assets/documents/forms/cr603e_0.pdf?VersionId=OtVU6aRG6FZvfU1STDHvALiglKjMlm_0,https://www.nccourts.gov/documents/forms/judgment-suspending-sentence-felony-punishment-communityintermediate-structured-sentencing-for-offenses-committed-dec-1-2023-nov-30-2025
AOC-CR-310E,,"Impaired Driving - Judgment Suspending Sentence (For Offenses Committed Dec. 1, 2023 - Nov. 30, 2025)",G.S. 20-179,"November 30, 2023","AOC-CR-310E - Impaired Driving - Judgment Suspending Sentence (For Offenses Committed Dec. 1, 2023 - Nov. 30, 2025).pdf",362767,downloaded,https://www.nccourts.gov/assets/documents/forms/cr310e_0.pdf?VersionId=GaJKzFSxXpnqABxi1RNGWVlTfbRR4.U0,https://www.nccourts.gov/documents/forms/impaired-driving-judgment-suspending-sentence-for-offenses-committed-dec-1-2023-nov-30-2025
AOC-CR-412,,Colloquy For Proceedings Conducted By Audio And Video Transmission,,"February 9, 2023",AOC-CR-412 - Colloquy For Proceedings Conducted By Audio And Video Transmission.pdf,750604,downloaded,https://www.nccourts.gov/assets/documents/forms/cr412.pdf?VersionId=_wCyYahkEO3EyzzHccSqZwTrY7EOHuHo,https://www.nccourts.gov/documents/forms/colloquy-for-proceedings-conducted-by-audio-and-video-transmission
AOC-CR-411,,Waiver Of Rights And Consent To Audio-Video Proceeding,G.S. 7A-49.6,"February 9, 2023",AOC-CR-411 - Waiver Of Rights And Consent To Audio-Video Proceeding.pdf,191730,downloaded,https://www.nccourts.gov/assets/documents/forms/cr411.pdf?VersionId=ZLk5pV0FdLQY9zCc38bhtbY5xqgf_v3t,https://www.nccourts.gov/documents/forms/waiver-of-rights-and-consent-to-audio-video-proceeding
AOC-CR-170,,Notice Of Criminal Process Or Pleading Issued In Error And Request For Review,"Chapter 15A, Art. 17, 15A-511","January 24, 2023",AOC-CR-170 - Notice Of Criminal Process Or Pleading Issued In Error And Request For Review.pdf,186998,downloaded,https://www.nccourts.gov/assets/documents/forms/cr170.pdf?VersionId=q_4O0hleoCcDPuBlTm0IVkJh6FGn6pMI,https://www.nccourts.gov/documents/forms/notice-of-criminal-process-or-pleading-issued-in-error-and-request-for-review
,,Interlock Limited Driving Privilege Impaired Driving (Out-Of-State Or Federal Convictions),G.S. 20-179.3,"May 31, 2022",AOC-CR-UNKNOWN - Interlock Limited Driving Privilege Impaired Driving (Out-Of-State Or Federal Convictions).pdf,210578,downloaded,https://www.nccourts.gov/assets/documents/forms/cv352b_0.pdf?VersionId=nb0QirSCbBCMHWn6trxcNNu.OinROO_f,https://www.nccourts.gov/documents/forms/interlock-limited-driving-privilege-impaired-driving-out-of-state-or-federal-convictions
,,Limited Driving Privilege Impaired Driving (Out-Of-State Or Federal Convictions),G.S. 20-179.3,"May 31, 2022",AOC-CR-UNKNOWN - Limited Driving Privilege Impaired Driving (Out-Of-State Or Federal Convictions).pdf,220086,downloaded,https://www.nccourts.gov/assets/documents/forms/cv352a.pdf?VersionId=WG.Oi9JCdwxzXsN29GeKgTZvh_CyC2PQ,https://www.nccourts.gov/documents/forms/limited-driving-privilege-impaired-driving-out-of-state-or-federal-convictions-0
AOC-CR-313B,,Interlock Limited Driving Privilege Willful Refusal,G.S. 20-16.2,"May 31, 2022",AOC-CR-313B - Interlock Limited Driving Privilege Willful Refusal.pdf,201735,downloaded,https://www.nccourts.gov/assets/documents/forms/cr313b_0.pdf?VersionId=XBlLDmpQqV1xpfDnFaEBzVaJlDITQSSP,https://www.nccourts.gov/documents/forms/interlock-limited-driving-privilege-willful-refusal
AOC-CR-313A,,Limited Driving Privilege Willful Refusal,G.S. 20-16.2,"May 31, 2022",AOC-CR-313A - Limited Driving Privilege Willful Refusal.pdf,204409,downloaded,https://www.nccourts.gov/assets/documents/forms/cr313a.pdf?VersionId=R03QlwlRaxLoaIJXvMH769suW7i11ql5,https://www.nccourts.gov/documents/forms/limited-driving-privilege-willful-refusal-0
AOC-CR-370,,Clerk’s Certification That A Criminal File Does Not Exist,"7A-109, -343(3)","February 8, 2022",AOC-CR-370 - Clerk’s Certification That A Criminal File Does Not Exist.pdf,163304,downloaded,https://www.nccourts.gov/assets/documents/forms/cr370_0.pdf?VersionId=s6ks65DZ1KNMl0mrBynDeED0nmX0el55,https://www.nccourts.gov/documents/forms/clerks-certification-that-a-criminal-file-does-not-exist
AOC-CR-346,,Notice Of Intent To Use Remote Testimony Of Analyst And Chain Of Custody Witnesses In District Court,15A-1225.3(b1); 20-139.1(c6),"December 30, 2021",AOC-CR-346 - Notice Of Intent To Use Remote Testimony Of Analyst And Chain Of Custody Witnesses In District Court.pdf,161197,downloaded,https://www.nccourts.gov/assets/documents/forms/cr346.pdf?VersionId=2iwEXCG4G5ryKQESseO5_ZSrxfscdo1r,https://www.nccourts.gov/documents/forms/notice-of-intent-to-use-remote-testimony-of-analyst-and-chain-of-custody-witnesses-in-district-court
AOC-CR-298,,Instructions For Petition And Order Of Expunction Under G.S. 15A-145.5 (Nonviolent Misdemeanor(s)),"15A-145.5, -150","November 30, 2021",AOC-CR-298 - Instructions For Petition And Order Of Expunction Under G.S. 15A-145.5 (Nonviolent Misdemeanor(s)).pdf,300577,downloaded,https://www.nccourts.gov/assets/documents/forms/cr298_8.pdf?VersionId=37t1tTnRKK4gPsptmWfrOIy8UoeieU1E,https://www.nccourts.gov/documents/forms/petition-and-order-of-expunction-under-gs-15a-1455-nonviolent-misdemeanors-instructions-for-petition-and-order-of-expunction-under-gs-15a-1455-nonviolent-misdemeanors
AOC-CR-297,,Instructions For Petition And Order Of Expunction Under G.S. 15A-145.5 (Nonviolent Felony(ies)),15A-145.5,"November 30, 2021",AOC-CR-297 - Instructions For Petition And Order Of Expunction Under G.S. 15A-145.5 (Nonviolent Felony(ies)).pdf,304457,downloaded,https://www.nccourts.gov/assets/documents/forms/cr297_5.pdf?VersionId=aTwaRtp1WHvm8XOxdYvpn_jAeOKWqi9k,https://www.nccourts.gov/documents/forms/petition-and-order-of-expunction-under-gs-15a-1455-nonviolent-felonyies-instructions-for-petition-and-order-of-expunction-under-gs-15a-1455-nonviolent-felonyies
